No,Lat,Long,NRE,MAT,MAT_season,MAP,MAP_season,AI,AET,VPD,srad,tmax,tmin,CEC,BD,pH,Sand,Silt,Clay,SWC,SOC,TN,TP,MBC,MBN,FB_ratio,NPP,BNPP,NDVI,Ndep,LDMC,SLA_MODIS,LNC_MODIS,LPC_MODIS,Vcmax,fLNR,EM_tree,AM_tree
46,-42.7,-65.4,69.3684211,13.46173,519.1656,184,21.26228,945,369.1136,0.9333333,173.6167,20.2,7.025,0.1432,1.12,7.7,83,8,9,26,6.3,0.5,700,52.726,6.76428,0.1064849,1434,0.880312,0.146,0.007004743,0.2752344,14.66729,18.9186,1.655218,NaN,NaN,0.8588123,0.1051261
47,-42.7,-65.4,68.2711864,13.46173,519.1656,184,21.26228,945,369.1136,0.9333333,173.6167,20.2,7.025,0.1432,1.12,7.7,83,8,9,26,6.3,0.5,700,52.726,6.76428,0.1064849,1434,0.880312,0.146,0.007004743,0.2752344,14.66729,18.9186,1.655218,NaN,NaN,0.8588123,0.1051261
48,-42.7,-65.4,60.4090909,13.46173,519.1656,184,21.26228,945,369.1136,0.9333333,173.6167,20.2,7.025,0.1432,1.12,7.7,83,8,9,26,6.3,0.5,700,52.726,6.76428,0.1064849,1434,0.880312,0.146,0.007004743,0.2752344,14.66729,18.9186,1.655218,NaN,NaN,0.8588123,0.1051261
49,-42.7,-65.4,51.4564384,13.46173,519.1656,184,21.26228,945,369.1136,0.9333333,173.6167,20.2,7.025,0.1432,1.12,7.7,83,8,9,26,6.3,0.5,700,52.726,6.76428,0.1064849,1434,0.880312,0.146,0.007004743,0.2752344,14.66729,18.9186,1.655218,NaN,NaN,0.8588123,0.1051261
50,-42.7,-65.4,84.0184615,13.46173,519.1656,184,21.26228,945,369.1136,0.9333333,173.6167,20.2,7.025,0.1432,1.12,7.7,83,8,9,26,6.3,0.5,700,52.726,6.76428,0.1064849,1434,0.880312,0.146,0.007004743,0.2752344,14.66729,18.9186,1.655218,NaN,NaN,0.8588123,0.1051261
51,-42.7,-65.4,75.7024793,13.46173,519.1656,184,21.26228,945,369.1136,0.9333333,173.6167,20.2,7.025,0.1432,1.12,7.7,83,8,9,26,6.3,0.5,700,52.726,6.76428,0.1064849,1434,0.880312,0.146,0.007004743,0.2752344,14.66729,18.9186,1.655218,NaN,NaN,0.8588123,0.1051261
52,18.5,-99,33.8181818,24.46244,165.7283,876,105.6398,4273,456.9267,1.825,210.7333,33.64167,16.125,0.17,1.4,6.1,55,31,13,38,16.9,1.4,NaN,170.666,28.0097,0.166254,9340,1.231375,0.521,0.03841753,0.30539,15.55511,16.71788,1.262617,72.14602,22.3487,0.8178092,0.1301309
53,18.5,-99,54.6105263,24.46244,165.7283,876,105.6398,4273,456.9267,1.825,210.7333,33.64167,16.125,0.17,1.4,6.1,55,31,13,38,16.9,1.4,NaN,170.666,28.0097,0.166254,9340,1.231375,0.521,0.03841753,0.30539,15.55511,16.71788,1.262617,72.14602,22.3487,0.8178092,0.1301309
54,18.5,-99,38.0888889,24.46244,165.7283,876,105.6398,4273,456.9267,1.825,210.7333,33.64167,16.125,0.17,1.4,6.1,55,31,13,38,16.9,1.4,NaN,170.666,28.0097,0.166254,9340,1.231375,0.521,0.03841753,0.30539,15.55511,16.71788,1.262617,72.14602,22.3487,0.8178092,0.1301309
55,38.8,-9,61.9512195,16.6583,442.6993,700,64.42017,4693,640.9581,0.6916667,192.225,21.51667,12.71667,0.108,1.62,5.8,95,4,2,29,16.1,2.3,700,171.146,31.1415,0.1198471,10424,0.9852827,0.481,0.02499653,0.3018674,12.96339,9.967908,1.282164,64.5108,22.47219,0.9795659,0.0208614
56,65.9,-147.8,83.3919598,-4.997708,1379.257,300,56.33604,4840,283.9438,0.3083333,93.34167,1.483333,-8.8,0.2542,1.06,4.8,36,58,5,41,123.6,4.5,700,1163.82,132.442,0.241175,2312,0.4116619,0.281,0.0231194,0.2673456,13.15704,18.66047,1.429188,62.58069,28.11227,0.9635752,0.03836611
57,65.9,-147.8,75.9314516,-4.997708,1379.257,300,56.33604,4840,283.9438,0.3083333,93.34167,1.483333,-8.8,0.2542,1.06,4.8,36,58,5,41,123.6,4.5,700,1163.82,132.442,0.241175,2312,0.4116619,0.281,0.0231194,0.2673456,13.15704,18.66047,1.429188,62.58069,28.11227,0.9635752,0.03836611
58,65.9,-147.8,87.8933036,-4.997708,1379.257,300,56.33604,4840,283.9438,0.3083333,93.34167,1.483333,-8.8,0.2542,1.06,4.8,36,58,5,41,123.6,4.5,700,1163.82,132.442,0.241175,2312,0.4116619,0.281,0.0231194,0.2673456,13.15704,18.66047,1.429188,62.58069,28.11227,0.9635752,0.03836611
68,NaN,NaN,58.4186047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69,NaN,NaN,56.9555556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,69.5227273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71,NaN,NaN,72.5042654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
72,NaN,NaN,55.765625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73,NaN,NaN,52.6913043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
74,NaN,NaN,60.016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,59.7142857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76,NaN,NaN,73.9333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,62.4181818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
88,NaN,NaN,46.7333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89,NaN,NaN,81.5615385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,44.3888889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91,NaN,NaN,54.515625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
92,NaN,NaN,64.7021277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93,NaN,NaN,56.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94,NaN,NaN,89.1111111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,84.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96,NaN,NaN,71.5742574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97,NaN,NaN,81.7979798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98,NaN,NaN,37.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
99,NaN,NaN,88.4923077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,NaN,NaN,57.7511111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
101,NaN,NaN,57.5868852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102,NaN,NaN,62.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
